Id2,name,category,promote,description
1,National Security,,0,
2,drm,,0,
3,Testimony,,0,
4,books,,0,
5,DMCA,,0,
6,surveillance,,0,
7,publications,,0,
8,tcblog,,0,
9,briefs,,0,
10,PodCampWest,,0,
11,"Vol. 1, No. 4",,0,
12,"Vol. 1, No. 5",,0,
13,"Vol. 1, No. 6",,0,
14,"Vol. 1, No. 7",,0,
15,"Vol. 1, No. 8",,0,
16,"Vol. 1, No. 9",,0,
17,"Vol. 1, No. 10",,0,
18,IP reform,,0,
19,sony,,0,
20,economics,,0,
21,japanese,,0,
22,cc,,0,
23,law school,,0,
24,market,,0,
25,Past Fellows,,0,
26,"Vol. 1, No. 11",,0,
27,"Vol. 1, No. 12",,0,
28,"Vol. 1, No. 13",,0,
29,commons theory,,0,
30,Section 230,,0,
31,"Vol. 1, No. 1",,0,
32,"Vol. 1, No. 2",,0,
33,"Vol. 2, No. 1",,0,
34,"Vol. 2, No. 2",,0,
35,"Vol. 2, No. 3",,0,
36,"Vol. 2, No. 4",,0,
37,"Vol. 2, No. 5",,0,
38,"Vol. 1, No. 3",,0,
39,CLA,,0,
40,terrorism,,0,
41,academic copyright materials,,0,
42,anti-circumvention,,0,
43,Europe,,0,
44,culture,,0,
45,"Vol. 3, No. 1",,0,
46,"Vol. 3, No. 2",,0,
47,"Vol. 3, No. 3",,0,
48,"Vol. 3, No. 4",,0,
49,"Vol. 3, No. 5",,0,
50,"Vol. 3, No. 6",,0,
51,TWIL,,0,
52,adwords,,0,
53,Google,,0,
54,keywording,,0,
55,Trademarks,,0,
56,Packets,,0,"Packets provides the legal community with a concise description of recently decided cyberlaw- related cases, and where possible, to point to the original decisions.
"
57,Speakers Series,,0,"The Center brings a variety of speakers to the Stanford campus, on topics ranging from open source software to royalty collection in the digital age to intellectual property.
"
58,participatory culture,,0,
59,connecting the dots,,0,
60,web 2.0,,0,
61,YouTube,,0,
62,Revver,,0,
63,Chris Pirillo,,0,
64,podcasting,,0,
65,Creative Commons,,0,
66,attorney's fees,,0,
67,governmediality,,0,
68,empirical data,,0,
69,Hearsay Culture,,0,
70,radio,,0,
71,Media,,0,
72,Jesus Will Survive,,0,
73,Future of Ideas,,0,"Reviews of The Future of IDeas
"
74,Fourth Amendment,,0,
75,Codex,,0,
76,patent,,0,
77,muni wifi,,0,
78,project,,0,
79,Fair Use,Copyright and Fair Use,1,
80,FOIA,,0,
81,steve borsch,,0,
82,Federal Trade Commission,,0,
83,new media,,0,
84,Copyright,"Copyright and Fair Use, Intermediary Liability",1,
85,search,,0,
86,profiling,,0,
87,data mining,,0,
88,communications,,0,
89,Internet,,0,
90,software,,0,
91,kzsu,,0,
92,free press,,0,
93,vulnerability disclosure,,0,
94,domain names,,0,
95,Social Capital Markets & Marketplaces,,0,
96,TSA,,0,
97,regulations,,0,
98,deficit,,0,
99,Concord Coalition,,0,
100,Global Warming,,0,
101,Climate Change,,0,
102,GIS,,0,
103,Urban Threats,,0,
104,Resiliency,,0,
105,public opinion,,0,
106,Open Source,,0,
107,Geospatial,,0,
108,JAVA,,0,
109,XML,,0,
110,OpenGIS,,0,
111,OGC,,0,
112,FOIL,,0,
113,digital rights management,,0,
114,public data,,0,
115,electronic democracy,,0,
116,music,,0,
117,legal ethics,,0,
118,Microsoft,,0,
